District,Latitude,Longitude
BUXAR,25.5044834,84.1097525
DARBHANGA,26.0829899,86.0324951
GAYA,24.6793889,85.0115833
GOPALGANJ,26.4211166,84.3739133
JAMUI,24.7562513,86.3011128
JEHANABAD,25.1529578,85.0065043
KAIMUR (BHABUA),25.0402736,83.6076361
KATIHAR,25.5586421,87.6457196
KHAGARIA,25.4930513,86.6982264
KISHANGANJ,26.2984144,87.9466715
LAKHISARAI,25.1543938,86.1744959
MADHEPURA,25.7806118,86.9364753
MADHUBANI,26.3503076,86.2296424
MUNGER,25.2202864,86.5161484
MUZAFFARPUR,26.1482548,85.3316097
NALANDA,25.1364914,85.4436546
NAWADA,24.8173249,85.5179085
PASHCHIM CHAMPARAN,27.0,84.5
PATNA,25.6093239,85.1235252
PURBI CHAMPARAN,26.6465969,84.9091552
PURNIA,25.7758723,87.4087667
ROHTAS,24.9394142,84.0197031
SAHARSA,25.8330757,86.6143751
SAMASTIPUR,25.7747884,85.8672314
SARAN,25.9214451,84.7759731
SHEIKHPURA,25.1250741,85.8160771
SHEOHAR,26.4934234,85.2717561
SITAMARHI,26.5942841,85.500428
SIWAN,26.131008,84.3910745
SUPAUL,26.2768089,86.7959614
VAISHALI,25.7491702,85.3972164
CHANDIGARH,30.7334421,76.7797143
BALOD,20.7277192,81.1446948
BALODA BAZAR,21.5731848,82.2994821
BALRAMPUR,27.4476988,82.3956245
BASTAR,19.1191282,81.8291865
BEMETARA,21.6783867,81.4412578
BIJAPUR,18.7935679,80.815939
BILASPUR,22.1638486,82.1365923
DANTEWADA,18.8640648,81.3833947
DHAMTARI,20.5326259,81.7155987
DURG,21.1982964,81.4007922
GARIYABAND,20.526756,82.1917217
JANJGIR-CHAMPA,21.986403,82.5536606
JASHPUR,22.770251,83.9708013
KABIRDHAM,22.1150085,81.2446944
KANKER,20.2692747,81.4932111
KONDAGAON,19.5885769,81.6628742
KORBA,22.5198217,82.6350029
KOREA,23.2382999,82.3906588
MAHASAMUND,21.1922846,82.4890263
MUNGELI,22.0661098,81.6874282
NARAYANPUR,19.5842032,81.1136986
RAIGARH,22.2361795,83.3529534
RAIPUR,21.2380912,81.6336993
RAJNANDGAON,21.0684424,80.7970779
SUKMA,18.2665423,81.2925234
SURAJPUR,23.3577769,82.9761277
SURGUJA,22.9469135,83.1656942
DADRA AND NAGAR HAVELI,20.2733946,73.0044983
NORTH GOA,15.6044413,74.0017241
SOUTH GOA,15.219624,74.1159085
AHMADABAD,23.0215374,72.5800568
AMRELI,21.4176122,71.249609
ANAND,22.5586555,72.9627227
BANAS KANTHA,24.25,72.5
BHARUCH,21.7080427,72.9956936
BHAVNAGAR,21.7718836,72.1416449
DANG,20.7881718,73.7092033
DOHAD,24.5175816,77.2366335
GANDHINAGAR,23.2232877,72.6492267
JAMNAGAR,22.4732415,70.0552102
JUNAGADH,21.5220416,70.4582458
KACHCHH,23.583333,70.0
KHEDA,22.8532503,72.9953586
MAHESANA,23.6015557,72.3867981
NARMADA,22.6694223,77.5687122
NAVSARI,20.952407,72.9323831
PANCH MAHALS,23.0,74.0
PATAN,23.773753,71.6798581
PORBANDAR,21.602975,69.8538067
RAJKOT,22.3053263,70.8028377
SABAR KANTHA,23.5,73.25
SURAT,21.2094892,72.8317058
SURENDRANAGAR,22.8251395,71.6209736
TAPI,21.1787195,75.44245
VADODARA,22.2973142,73.1942567
VALSAD,20.4321957,73.1409893
AMBALA,30.3843674,76.770421
BHIWANI,28.7931703,76.1391283
FARIDABAD,28.4031478,77.3105561
FATEHABAD,29.5359209,75.5752901
GURGAON,28.4646148,77.0299194
HISAR,29.2396596,75.8174505
JHAJJAR,28.5964461,76.6505366
JIND,29.3140427,76.3179488
KAITHAL,29.7996588,76.3989903
KARNAL,29.7255766,76.9106924
KURUKSHETRA,29.9693747,76.8482787
MAHENDRAGARH,28.132697,76.1697448
MEWAT,27.9935177,77.0419634
PALWAL,28.0599426,77.3223422
PANCHKULA,30.6975401,76.8551066
PANIPAT,29.3912753,76.9771675
REWARI,28.1956468,76.6165179
ROHTAK,28.9010899,76.5801935
SIRSA,29.6063041,74.9036568
SONIPAT,28.9953758,77.0233627
YAMUNANAGAR,30.1231349,77.286329
CHAMBA,32.6923316,76.1631552
HAMIRPUR,25.75,80.0
KANGRA,32.068547,76.2433679
KINNAUR,31.593013,78.3281417
KULLU,31.9578974,77.1089232
LAHUL AND SPITI,32.5708098,77.0312341
MANDI,31.6516617,77.0092542
SHIMLA,31.1041526,77.1709729
SIRMAUR,30.6991321,77.4465304
SOLAN,30.9077569,77.1023645
UNA,31.5834642,76.2351452
ANANTNAG,33.7368773,75.1455138
BADGAM,34.0385248,74.7360163
BANDIPORA,34.4232433,74.635965
BARAMULLA,34.2086903,74.343498
DODA,33.13261,75.5890079
GANDERBAL,34.2889322,75.0407983
JAMMU,32.7185614,74.8580917
KARGIL,33.802819,76.4730096
KATHUA,32.3765524,75.5243044
KISHTWAR,33.3107908,75.7694213
KULGAM,33.6446899,75.0188432
KUPWARA,34.5140696,74.191367
LEH LADAKH,34.1718527,77.5866776
POONCH,33.7670004,74.0957143
PULWAMA,33.9490472,75.0418335
RAJAURI,33.3772495,74.3132332
RAMBAN,33.3332891,75.1984763
REASI,33.2059908,74.8626794
SAMBA,32.5759118,75.1203446
SHOPIAN,33.7207837,74.7714244
SRINAGAR,34.0747444,74.8204443
UDHAMPUR,32.911964,75.3265845
BOKARO,23.6991279,85.9910689
CHATRA,24.1062316,84.8623379
DEOGHAR,24.4898318,86.6990182
DHANBAD,23.7952809,86.4309638
DUMKA,24.2677937,87.2485495
EAST SINGHBUM,22.0,79.0
GARHWA,24.053577,83.6526818
GIRIDIH,24.3314546,86.1548117
GODDA,24.8645886,87.2984838
GUMLA,23.1603759,84.4599565
HAZARIBAGH,24.0866962,85.4912231
JAMTARA,23.9801639,86.9243637
KHUNTI,22.9281801,85.2814475
KODERMA,24.4931239,85.5560811
LATEHAR,23.6880057,84.4969551
LOHARDAGA,23.4770044,84.6986684
PAKUR,24.5325908,87.593232
PALAMU,24.2212983,84.1725565
RAMGARH,23.693479,85.5215989
RANCHI,23.3700501,85.3250387
SAHEBGANJ,25.0320437,87.691764
SARAIKELA KHARSAWAN,22.7464225,85.9168929
SIMDEGA,22.5904573,84.5464805
WEST SINGHBHUM,22.4282857,85.5317483
BAGALKOT,16.1793224,75.6999315
BANGALORE RURAL,13.0010872,77.3361225
BELGAUM,15.8572666,74.5069343
BELLARY,15.1433952,76.9193876
BENGALURU URBAN,12.9461554,77.5503844
BIDAR,18.0231525,77.2497187
CHAMARAJANAGAR,11.95442,77.1069086
CHIKBALLAPUR,13.4274405,77.7321433
CHIKMAGALUR,13.318014,75.7738743
CHITRADURGA,14.3049174,76.5297234
DAKSHIN KANNAD,12.84,75.29
DAVANGERE,14.4661266,75.9206361
DHARWAD,15.3707296,75.1332867
GADAG,15.416692,75.6815801
GULBARGA,17.3310003,76.8334228
HASSAN,13.0301852,76.1744968
HAVERI,14.7180267,75.3656423
KODAGU,12.3827332,75.6640715
KOLAR,13.1805066,78.2669329
KOPPAL,15.5748238,76.3118494
MANDYA,12.6368939,76.7275477
MYSORE,12.3051828,76.6553609
RAICHUR,16.0547194,76.9003647
RAMANAGARA,12.720006,77.3184199
SHIMOGA,14.0556502,75.2380553
TUMKUR,13.3400771,77.1006208
UDUPI,13.5269784,74.8731879
UTTAR KANNAD,14.88333,74.58333
YADGIR,16.5744123,76.9254434
ALAPPUZHA,9.5006651,76.4124143
ERNAKULAM,9.98408,76.2741457
IDUKKI,9.8154785,76.9991599
KANNUR,11.8763836,75.3737973
KASARAGOD,12.4221964,75.1904446
KOLLAM,8.8879509,76.5955013
KOTTAYAM,9.6287383,76.6455326
KOZHIKODE,11.2450558,75.7754716
MALAPPURAM,11.1068448,76.1099551
PALAKKAD,10.7873691,76.4742172
PATHANAMTHITTA,9.2780841,76.9737443
THIRUVANANTHAPURAM,8.4882267,76.947551
THRISSUR,10.5270099,76.214621
WAYANAD,11.7151291,76.1271185
AGAR MALWA,23.935092,76.1449595
ALIRAJPUR,22.2859524,74.3545628
ANUPPUR,23.0346179,81.7510255
ASHOKNAGAR,24.6186095,77.8786983
BALAGHAT,21.8611589,80.3237105
BARWANI,21.7514248,74.8915957
BETUL,21.8797472,77.8753651
BHIND,26.3518828,78.6863189
BHOPAL,23.2584857,77.401989
BURHANPUR,21.3348669,76.3708803
CHHATARPUR,24.7606089,79.6781776
CHHINDWARA,22.2071897,78.798833
DAMOH,23.7981005,79.5419356
DATIA,25.9182946,78.6644962
DEWAS,22.8057498,76.2940408
DHAR,22.5786572,75.2258637
DINDORI,22.9070871,80.8846924
GUNA,24.5001772,77.2600959
GWALIOR,26.2037247,78.1573628
HARDA,22.2427972,77.1179173
HOSHANGABAD,22.7529598,77.7173261
INDORE,22.7203616,75.8681996
JABALPUR,23.1701522,79.9324505
JHABUA,22.8869652,74.7243249
KATNI,23.7176393,80.2610181
KHANDWA,21.9769779,76.5675344
KHARGONE,21.9544729,75.7521248
MANDLA,22.6871074,80.5816341
MANDSAUR,24.2628148,75.385692
MORENA,26.3849794,77.8612721
NARSINGHPUR,22.934556,79.0867849
NEEMUCH,24.6305517,75.1829
PANNA,24.4498931,80.1462723
RAISEN,23.2675909,78.1727134
RAJGARH,23.8716706,76.7744703
RATLAM,23.50222,74.9551534
REWA,24.7560846,81.3810574
SAGAR,23.8083076,78.758254
SATNA,24.6954445,80.7770348
SEHORE,23.1150041,77.0665356
SEONI,22.2748109,79.7202522
SHAHDOL,23.3002343,81.364771
SHAJAPUR,23.4171001,76.6074794
SHEOPUR,25.7499266,76.9212945
SHIVPURI,25.3741215,77.8278866
SIDHI,24.2112687,81.7000415
SINGRAULI,24.2431343,82.3827672
TIKAMGARH,24.8552105,79.0472546
UJJAIN,23.1885131,75.7716562
UMARIA,23.6431837,80.9419078
VIDISHA,23.8463003,77.8370209
AHMEDNAGAR,19.1627725,74.8580243
AKOLA,20.7618122,77.1921157
AMRAVATI,21.1545412,77.6442962
BEED,18.9918442,75.909784
BHANDARA,21.1225869,79.794509
BULDHANA,20.562845,76.4086986
CHANDRAPUR,20.0967555,79.5045475
DHULE,21.1305215,74.4900614
GADCHIROLI,19.7590704,80.1622807
GONDIA,21.455228,80.1962729
HINGOLI,19.5431163,77.1739432
JALGAON,20.8428826,75.5261246
JALNA,19.918833,75.8708599
KOLHAPUR,16.7028412,74.2405329
LATUR,18.3515907,76.7554236
MUMBAI,19.0785451,72.878176
NAGPUR,21.1498134,79.0820556
NANDED,19.0940088,77.4831922
NANDURBAR,21.5141622,74.5405513
NASHIK,20.0112475,73.7902364
OSMANABAD,18.2822454,76.0588166
PALGHAR,19.757249,73.0931199
PARBHANI,19.2901981,76.6026443
PUNE,18.5213738,73.8545071
RAIGAD,18.4928092,73.138071
RATNAGIRI,17.2826079,73.4569787
SANGLI,17.1726928,74.5867654
SATARA,17.6361288,74.2982781
SINDHUDURG,16.1357193,73.6522086
SOLAPUR,17.8499067,75.2763203
THANE,19.3592411,73.3708245
WARDHA,20.8256231,78.6131455
WASHIM,20.2874178,77.2369655
YAVATMAL,20.0638677,78.3565663
BISHNUPUR,23.0757335,87.3146343
CHANDEL,24.1700959,94.0059673
CHURACHANDPUR,24.2813108,93.6760386
IMPHAL EAST,24.8515402,94.0094796
IMPHAL WEST,24.757326,93.8584786
SENAPATI,25.3933697,94.1505175
TAMENGLONG,25.0648711,93.5465432
THOUBAL,24.6252503,94.0083522
UKHRUL,25.3110738,94.4753775
EAST GARO HILLS,25.6184946,90.6342162
EAST JAINTIA HILLS,25.2515761,92.4840501
EAST KHASI HILLS,25.4023736,91.8317178
NORTH GARO HILLS,25.8619841,90.7017705
RI BHOI,25.8764026,91.8567574
SOUTH GARO HILLS,25.347969,90.5657773
SOUTH WEST GARO HILLS,25.444631,89.9969655
SOUTH WEST KHASI HILLS,25.3307221,91.3217388
WEST GARO HILLS,25.6063142,90.2113906
WEST JAINTIA HILLS,25.4425965,92.2988275
WEST KHASI HILLS,25.5814429,91.0851094
AIZAWL,23.7433532,92.7382756
CHAMPHAI,23.5443743,93.3479506
KOLASIB,24.1985277,92.716068
LAWNGTLAI,22.3913377,92.7397189
LUNGLEI,22.9519972,92.6338827
MAMIT,23.7559084,92.4517357
SAIHA,22.2876724,93.01336
SERCHHIP,23.3052514,92.8455123
DIMAPUR,25.9041378,93.7177609
KIPHIRE,25.8113822,94.8494968
KOHIMA,25.6618755,94.1019156
LONGLENG,26.5839315,94.8045481
MOKOKCHUNG,26.4795861,94.5105275
MON,26.666667,95.0
PEREN,25.4502306,93.6001154
PHEK,25.6514473,94.3809788
TUENSANG,26.2342107,94.741553
WOKHA,26.2422509,94.1921153
ZUNHEBOTO,26.0123802,94.5123719
ANUGUL,20.8411255,85.0804007
BALANGIR,20.6095183,83.1673029
BALESHWAR,21.5197916,86.8790638
BARGARH,21.2319922,83.5652737
BHADRAK,20.9854052,86.5934226
BOUDH,20.6407463,83.9969704
CUTTACK,20.4686,85.8792
DEOGARH,24.4898318,86.6990182
DHENKANAL,20.8351494,85.6022305
GAJAPATI,19.1966026,84.1930634
GANJAM,19.6090067,84.7080633
JAGATSINGHAPUR,20.1801473,86.3414874
JAJAPUR,20.8277892,86.3798353
JHARSUGUDA,21.8019368,83.9713964
KALAHANDI,19.8265756,83.0408702
KANDHAMAL,20.1306939,84.0790476
KENDRAPARA,20.5475164,86.5296168
KENDUJHAR,21.5892323,85.6687841
KHORDHA,20.0538149,85.5023308
KORAPUT,18.7232023,82.6100596
MALKANGIRI,18.2744685,81.9520316
MAYURBHANJ,21.9156338,86.3961824
NABARANGPUR,19.2392083,82.5475064
NAYAGARH,20.2393682,85.050728
NUAPADA,20.5412657,82.5292352
PURI,19.8076083,85.8252538
RAYAGADA,19.4426698,83.5873053
SAMBALPUR,21.5570606,84.1528515
SONEPUR,25.7094769,85.1355218
SUNDARGARH,22.0605153,83.9359154
KARAIKAL,10.91571,79.8375761
MAHE,11.7021978,75.5364701
PONDICHERRY,10.9156489,79.8069488
YANAM,16.7332235,82.2018118
AMRITSAR,31.6343083,74.8736788
BARNALA,30.3716802,75.5039887
BATHINDA,30.1794813,75.0471098
FARIDKOT,30.6014507,74.7950176
FATEHGARH SAHIB,30.6634041,76.3803
FAZILKA,30.3198406,74.1217943
FIROZEPUR,22.0,79.0
GURDASPUR,31.9037264,75.2275587
HOSHIARPUR,31.6092942,75.8459754
JALANDHAR,31.2922311,75.5678878
KAPURTHALA,31.3856476,75.3053304
LUDHIANA,30.9090157,75.851601
MANSA,29.8764133,75.4889564
MOGA,30.7877554,75.159359
MUKTSAR,30.4692,74.5182
NAWANSHAHR,31.1269689,76.1598988
PATHANKOT,32.3021899,75.6589406
PATIALA,30.2092777,76.3397231
RUPNAGAR,31.0917102,76.5289701
S.A.S NAGAR,17.4809269,78.5571144
SANGRUR,30.135717,75.8533326
TARN TARAN,31.3212453,74.8416687
AJMER,26.4691,74.639
ALWAR,27.4140048,76.6170387
BANSWARA,23.4915046,74.3502172
BARAN,24.9208165,76.6821985
BARMER,25.5814853,71.1924922
BHARATPUR,27.0246959,77.2920116
BHILWARA,25.4891177,74.3300726
BIKANER,28.0159286,73.3171367
BUNDI,25.4367659,75.7361471
CHITTORGARH,24.7171578,74.4718129
CHURU,28.2047781,74.6912996
DAUSA,26.8048658,76.4437457
DHOLPUR,26.7010642,77.896749
DUNGARPUR,23.8538893,73.7087177
GANGANAGAR,23.7497214,91.876635
HANUMANGARH,29.3659533,74.298429
JAIPUR,26.9154576,75.8189817
JAISALMER,27.0264162,70.777512
JALORE,25.2718629,72.4388121
JHALAWAR,24.3132368,76.5221078
JHUNJHUNU,28.0810679,75.3792478
JODHPUR,26.2967719,73.0351433
KARAULI,26.4530971,77.0160461
KOTA,25.1737019,75.8574194
NAGAUR,26.9873443,73.7389011
PALI,25.455221,73.419389
PRATAPGARH,25.75,81.75
RAJSAMAND,25.2892459,73.8241077
SAWAI MADHOPUR,26.1137182,76.4240637
SIKAR,27.6625058,75.0279905
SIROHI,24.8114047,72.8300257
TONK,26.122266,75.8238631
UDAIPUR,24.578721,73.6862571
EAST DISTRICT,52.9522245,-0.9531901
NORTH DISTRICT,27.666667,88.5
SOUTH DISTRICT,27.333333,88.416667
WEST DISTRICT,16.5450817,80.6034484
ARIYALUR,11.1530559,79.2585797
COIMBATORE,11.0018115,76.9628425
CUDDALORE,11.520207,79.3396356
DHARMAPURI,12.145613,78.1132217
DINDIGUL,10.4256896,77.815664
ERODE,11.4905281,77.3505274
KANCHIPURAM,12.9647163,79.9839686
KANNIYAKUMARI,8.3279814,77.3541173
KARUR,10.8217671,78.3828654
KRISHNAGIRI,12.5152075,78.0093769
MADURAI,9.9261153,78.1140983
NAGAPATTINAM,10.6026202,79.7619348
NAMAKKAL,11.3033889,78.118604
PERAMBALUR,11.2902641,78.9300404
PUDUKKOTTAI,10.2903072,78.8173617
RAMANATHAPURAM,9.5205576,78.5184635
SALEM,11.6469616,78.2106958
SIVAGANGA,9.8486881,78.4870461
THANJAVUR,10.659037,79.2014278
THE NILGIRIS,11.4,76.7
THENI,9.8692558,77.4222974
THIRUVALLUR,13.2537619,80.0562572
THIRUVARUR,10.6878621,79.4979437
TIRUCHIRAPPALLI,10.804973,78.6870296
TIRUNELVELI,8.5495014,77.5805178
TIRUPPUR,10.7915267,77.5325466
TIRUVANNAMALAI,12.4289282,78.99915
TUTICORIN,8.8059955,78.1553488
VELLORE,12.9021849,79.061104
VILLUPURAM,11.9398285,79.4945645
VIRUDHUNAGAR,9.4926289,77.8631831
ADILABAD,19.6759452,78.5339895
HYDERABAD,17.360589,78.4740613
KARIMNAGAR,18.4348122,79.1328042
KHAMMAM,17.2465351,80.1500326
MAHBUBNAGAR,16.7434538,77.9923191
MEDAK,17.9375095,78.211745
NALGONDA,16.8579636,79.2174935
NIZAMABAD,18.6732693,78.0978477
RANGAREDDI,17.27883,78.16844
WARANGAL,17.9820644,79.5970954
DHALAI,23.8253158,91.9732227
GOMATI,23.4987407,91.2999111
KHOWAI,23.9563913,91.642107
NORTH TRIPURA,24.0921476,92.2451214
SEPAHIJALA,23.6728689,91.3200669
SOUTH TRIPURA,23.1708278,91.638817
UNAKOTI,24.1909848,92.0460483
WEST TRIPURA,23.9153328,91.3879341
AGRA,27.1752554,78.0098161
ALIGARH,27.8761073,78.1358153
ALLAHABAD,25.4381302,81.8338005
AMBEDKAR NAGAR,26.4045941,82.6065154
AMETHI,26.346274,81.6252039
AMROHA,28.7952632,78.3436244
AURAIYA,26.6558215,79.5160757
AZAMGARH,26.023639,83.0293105
BAGHPAT,29.0374779,77.3062737
BAHRAICH,27.7343823,81.47654
BALLIA,25.8749594,84.1210329
BANDA,25.4438537,80.5595237
BARABANKI,26.9421406,81.3856087
BAREILLY,28.4582344,79.4047452
BASTI,26.8387083,82.5350919
BIJNOR,29.4074203,78.4821406
BUDAUN,28.0367001,79.1234
BULANDSHAHR,28.3874073,77.9743805
CHANDAULI,25.125695,83.2494601
CHITRAKOOT,25.2171389,81.1045927
DEORIA,26.4239911,83.7638578
ETAH,27.5550357,78.5992221
ETAWAH,26.7155629,79.0917098
FAIZABAD,26.7789282,82.142694
FARRUKHABAD,27.4362002,79.4894778
FATEHPUR,25.8348023,80.9154547
FIROZABAD,27.1941954,78.4604956
GAUTAM BUDDHA NAGAR,28.3695198,77.5970893
GHAZIABAD,28.7678881,77.4606672
GHAZIPUR,25.6034862,83.5075888
GONDA,27.1103723,81.9238906
GORAKHPUR,26.6677977,83.3642334
HAPUR,28.7166767,77.890433
HARDOI,27.3369978,80.0998232
HATHRAS,27.5724324,78.1116209
JALAUN,26.1048633,79.3919136
JAUNPUR,25.7967065,82.4888992
JHANSI,25.529855,78.6527802
KANNAUJ,26.9986675,79.6927946
KANPUR DEHAT,26.4585639,79.8548052
KANPUR NAGAR,26.4410107,80.2652803
KASGANJ,27.7888527,78.8229701
KAUSHAMBI,25.5342456,81.4493567
KHERI,28.116667,80.716667
KUSHI NAGAR,12.9991596,77.5698374
LALITPUR,24.6999688,78.51862
LUCKNOW,26.8381,80.9346001
MAHARAJGANJ,27.0936024,83.5660681
MAHOBA,25.3615938,79.706011
MAINPURI,27.2093072,79.0625369
MATHURA,27.4955539,77.6855554
MAU,26.0390904,83.4985846
MEERUT,29.0018557,77.7679671
MIRZAPUR,24.9316896,82.6280163
MORADABAD,28.8796553,78.8095335
MUZAFFARNAGAR,29.4496978,77.7429333
PILIBHIT,28.4947158,80.1076122
RAE BARELI,26.25,81.25
RAMPUR,28.7934728,79.1845806
SAHARANPUR,29.9856799,77.5040646
SAMBHAL,28.4271927,78.5564546
SANT KABEER NAGAR,27.42397,77.09922
SANT RAVIDAS NAGAR,25.3574077,82.5002953
SHAHJAHANPUR,27.9128583,79.7476254
SHAMLI,29.4811507,77.2901344
SHRAVASTI,27.5083429,82.0263569
SIDDHARTH NAGAR,18.9997147,72.8157193
SITAPUR,27.5026747,80.8335139
SONBHADRA,24.4148159,83.0637517
SULTANPUR,26.2604732,82.2380532
UNNAO,26.5673264,80.6198193
VARANASI,25.3356491,83.0076292
ALMORA,29.7026509,79.4326318
BAGESHWAR,30.0087902,79.9280183
CHAMOLI,30.4985956,79.6190537
CHAMPAWAT,29.235032,80.1023068
DEHRADUN,30.3255646,78.0436813
HARIDWAR,29.9384473,78.1452985
NAINITAL,29.2949949,79.4162511
PAURI GARHWAL,29.8473168,78.7070479
PITHORAGARH,30.1264975,80.4816989
RUDRA PRAYAG,25.44894,81.83329
TEHRI GARHWAL,30.4658181,78.4837349
UDAM SINGH NAGAR,27.42397,77.09922
UTTAR KASHI,25.31668,83.01041
24 PARAGANAS NORTH,27.66667,88.5
24 PARAGANAS SOUTH,27.33333,88.41667
BANKURA,23.132377,87.2081925
BARDHAMAN,23.2495714,87.8681751
BIRBHUM,24.0621532,87.6982823
COOCHBEHAR,26.340623,89.4812163
DARJEELING,27.0377554,88.263176
DINAJPUR DAKSHIN,25.385807,88.5063362
DINAJPUR UTTAR,25.8721428,87.961986
HOOGHLY,22.9099402,88.0120825
HOWRAH,22.5736296,88.3251045
JALPAIGURI,26.6262804,88.7334485
MALDAH,25.0977097,88.1261713
MEDINIPUR EAST,22.4107334,87.8649777
MEDINIPUR WEST,22.3497409,87.5555339
MURSHIDABAD,24.1745993,88.2721335
NADIA,23.4847374,88.5567067
PURULIA,23.2020967,86.3228988
